Tag,Create States,Homelands,Claims
内モーリタニア,"c:OUA(43), c:RGB(62), c:ADR(41)","ビダン, マンデ, ハラティン",
東マリ,c:MSN(41),"バンバラ, フルベ, マンデ, セヌフォ",
西マリ,"c:SGU(22), c:KRT(20)","バンバラ, フルベ, マンデ",
ティンブクトゥ,"c:ADG(54), c:MSN(24), c:RGB(25), c:ADR(24), c:ATR(29), c:OUA(9)","トゥアレグ, ソンガイ, フルベ, マンデ",
ハウサランド,"c:SOK(31), c:BRG(7)","フルベ, ハウサ, ヨルバ, 赤道バントゥー, ソンガイ",
ベナン,c:BEN(15),"ヨルバ, ティブ, イボ, エド, フルベ",
ヨルバ州,c:OYO(12),"ヨルバ, フォン",
ニジェール・デルタ,c:IBO(16),"イボ, イビビオ, 赤道バントゥー",
外ハウサランド,"c:SOK(32), c:HAU(17), c:BOR(24)","ハウサ, カヌリ, フルベ, 赤道バントゥー, トゥアレグ, ジュラ, ソンガイ",
ニジェール,"c:AIR(82), c:TBI(54), c:DIN(27), c:AJJ(4)","ハウサ, トゥアレグ, フルベ",
ボルヌ,c:BOR(22),"カヌリ, フルベ",
ナイジェリア,c:SOK(39),"ハウサ, ティブ, 赤道バントゥー, フルベ",
東ハウサランド,c:SOK(30),"ハウサ, フルベ",
カタンガ,"c:KZM(53), c:LND(17), c:LBA(15)","ルンダ, ルバ, 河川バントゥー",
東コンゴ,"c:MNB(67), c:ZND(28), c:LGA(15), c:HMB(11), c:LBA(10)","アザンデ, ルバ, 河川バントゥー",
カサイ,"c:KBA(46), c:LBA(21)","ルバ, 河川バントゥー",
バ・コンゴ,"c:KON(16), c:YKA(34)","バコンゴ, ルンダ, 河川バントゥー",
エクアトゥール,"c:BNG(94), c:BOB(8)","モンゴ, 河川バントゥー",
ウガンダ,"c:BUG(15), c:BNY(8), c:ANK(3), c:ACH(14)","ガンダ, 湖水バントゥー, 羅",
エクアトリア,"c:DNK(41), c:NUE(18), c:DFT(32), c:TPS(14)","ヌエル, アザンデ, 羅, ディンカ, ナイル, フール, ヌバ",
ヴォルタ,"c:MOS(40), c:KNG(12)","モシ, フルベ, バンバラ, マンデ, ジュラ",
北カメルーン,"c:SOK(27), c:BMM(15)","フルベ, 赤道バントゥー",
南カメルーン,"c:SIL(1), c:POR(1), c:FNG(30), c:DLA(6)","芳, 赤道バントゥー",
ウバンギ・シャリ,"c:DAK(91), c:ZND(22)","アザンデ, サラ, 赤道バントゥー",
コンゴ,"c:BOB(41), c:LNG(17), c:TKE(10)","バコンゴ, 河川バントゥー",
象牙海岸,"c:FRA(1), c:BLE(3), c:KNG(16), c:AYI(8)","アカン, セヌフォ, ジュラ",
ウィンドワード・コースト,"c:KBD(15), c:BLE(6), c:KRU(13)","クル, マンデ, アカン, ジュラ",
セネガル,"c:FRA(6), c:JLF(8), c:CAY(2), c:FTR(3), c:SIL(2), c:SRR(7), c:BND(8), c:DIO(2), c:KBU(1), c:POR(1)","フルベ, ウォロフ, マンデ, ジュラ",
シエラレオネ,"c:TMN(6), c:SIL(1), c:MDK(5)","マンデ, アカン, キッシ, フルベ",
ズールーランド,"c:ZUL(22), c:BST(7)","ソト, ズールー",
トランスオランジア,"c:ORA(17), c:PHL(7), c:BST(6)","グリカ, ソト, ングニ, ボーア",
トランスヴァール,"c:MTB(28), c:TRN(11), c:PDI(11), c:SWZ(3), c:VND(14)","ソト, ングニ, ツワナ, ズールー, ボーア",
東ニューギニア,c:PPU(85),メラネシア,
ソロモン諸島,c:BLA(7),メラネシア,
ブーゲンビル,c:HLA(3),メラネシア,
ナウル,c:NRU(2),メラネシア,
フィジー,c:FJI(3),メラネシア,
バヌアツ,c:VNT(3),メラネシア,
カナック,c:KNK(3),メラネシア,
タヒチ,c:PLY(25),ポリネシア,
トンガ,c:TNG(4),ポリネシア,
ハーイル,"c:JAB(163), c:NEJ(17)",ベドウィン,
ナジュド,c:NEJ(178),ベドウィン,
トランスヨルダン,c:EGY(10),"マシュリク, ベドウィン",トルコ
パレスチナ,c:EGY(8),マシュリク,トルコ
レバノン,c:EGY(5),マシュリク,トルコ
シリア,c:EGY(18),マシュリク,トルコ
アレッポ,c:EGY(8),"マシュリク, トルコ, クルド",トルコ
バグダード,c:TUR(34),"マシュリク, ベドウィン",
モースル,c:TUR(18),"マシュリク, トルコ, クルド, アッシリア",
ホルムズ,"c:PER(9), c:OMA(9), c:BHN(1)","ペルシア, ベドウィン",
ケルマーン,c:PER(39),ペルシア,
バンプール,"c:MAK(39), c:KAN(5), c:OMA(1)","ペルシア, バローチ",ペルシア
ホラーサーン,c:PER(75),"ペルシア, トルクメン, クルド",
アラビスタン,c:ARB(10),"ペルシア, マシュリク, ロル",
ファールス,c:PER(34),"ペルシア, ロル",
エスファハーン,c:PER(33),ペルシア,
マーザンダラーン,c:PER(15),"マーザンダラーン, ペルシア, トルクメン",
エラクエ・アジャミ,c:PER(32),ペルシア,
セムナーン,c:PER(28),ペルシア,
タブリーズ,c:PER(27),"ペルシア, アルメニア, アゼルバイジャン",
ウルミア,c:PER(8),"ペルシア, クルド, アゼルバイジャン, アルメニア, アッシリア",
ペルシャ・クルディスタン,c:PER(11),"ペルシア, クルド",
ロレスターン,c:PER(19),"ペルシア, ロル",
アルメニア,c:RUS(7),"アルメニア, アゼルバイジャン",ペルシア
バクー,c:RUS(11),"アルメニア, アゼルバイジャン",ペルシア
エリザベトポリ,c:RUS(11),"アルメニア, アゼルバイジャン",ペルシア
チフリス,c:RUS(19),"ジョージア, アルメニア",
モンテネグロ,"c:TUR(3), c:MON(1), c:AUS(1)","セルビア, アルバニア",モンテネグロ
西セルビア,"c:SER(7), c:TUR(1)",セルビア,セルビア
東セルビア,"c:TUR(5), c:SER(4)",セルビア,セルビア
コソボ,c:TUR(4),"セルビア, アルバニア",
ヒュダヴェンディギャール,c:TUR(11),"トルコ, ギリシャ",
アイドゥン,c:TUR(12),"トルコ, ギリシャ",
コンヤ,c:TUR(44),トルコ,
カスタモヌ,c:TUR(13),トルコ,
キプロス,c:TUR(3),"トルコ, ギリシャ",
トラブゾン,c:TUR(10),"トルコ, アルメニア, ギリシャ",
エルズルム,c:TUR(27),"トルコ, アルメニア, クルド",
カルス,"c:TUR(5), c:RUS(2)","トルコ, アルメニア, クルド, ジョージア",
クレタ,c:EGY(2),"トルコ, ギリシャ",
西エーゲ海諸島,c:GRE(2),ギリシャ,
東エーゲ海諸島,c:TUR(3),"トルコ, ギリシャ",
アンカラ,c:TUR(39),トルコ,
カンダハル,c:KAN(20),"パシュトゥーン, タジク, ハザーラ",
カブリスタン,"c:KAB(23), c:KAF(5)","パシュトゥーン, タジク, ハザーラ",
ヘラート,c:HER(32),"パシュトゥーン, ペルシア",ペルシア
北バルーチスターン,c:KAN(21),"バローチ, パシュトゥーン",
南トルキスタン,"c:KUN(23), c:BUK(5), c:MAI(11)","パシュトゥーン, ウズベク, タジク, ハザーラ, トルクメン",
クエッタ,"c:KAB(11), c:KAN(3)",パシュトゥーン,東インド
ハザリスタン,"c:KAB(16), c:HER(7), c:KAN(4)","パシュトゥーン, ハザーラ, タジク",
パシュトゥーニスタン,"c:KAB(5), c:PAN(10), c:CHT(8)",パシュトゥーン,東インド
ディヤルバクル,c:TUR(26),"トルコ, アルメニア, クルド, マシュリク, アッシリア",
バンコク,c:SIA(21),タイ,
トンキン,"c:DAI(17), c:SCT(6)","ベトナム, 庄",ベトナム
アンナム,c:DAI(17),ベトナム,
ラオス,"c:LUA(18), c:SIA(7), c:CHP(9), c:DAI(10), c:SCT(3)","ラオス, クム",
チェンマイ,c:CMI(24),"タイ, シャン",
ナコーンラーチャシーマー,c:SIA(39),"タイ, ラオス",
京畿,c:KOR(12),朝鮮,
嶺南,c:KOR(7),朝鮮,
両湖,c:KOR(11),朝鮮,
関北,c:KOR(14),朝鮮,
両西,c:KOR(19),朝鮮,
サハリン,c:SKH(26),"シベリア, アイヌ",ロシア
北海道,"c:AIN(25), c:JAP(3)","日本, アイヌ",日本
東北,c:JAP(20),日本,
関東,c:JAP(10),日本,
中部,c:JAP(18),日本,
関西,c:JAP(11),日本,
九州,c:JAP(14),日本,
琉球諸島,c:JAP(2),日本,
中国,c:JAP(8),日本,
四国,c:JAP(5),日本,
ラサ,c:TIB(110),チベット,
ガリ,c:TIB(152),チベット,
西ヒマラヤ,c:NEP(33),"チベット, ネパール",
ジュンガリア,c:CHI(238),"ウイグル, モンゴル",
タリム盆地,c:CHI(236),ウイグル,
四川,c:CHI(104),"漢, チベット, 李",
雲南,c:CHI(83),"漢, 李, 庄",
貴州,c:CHI(47),"漢, 李, 庄",
広東東部,c:CHI(23),"粤, 漢, 客家",
アルシャー,c:CHI(79),モンゴル,
内モンゴル,c:CHI(187),モンゴル,
広西,c:CHI(61),"粤, 漢, 庄",
北京,c:CHI(66),漢,
盛京,c:CHI(32),"漢, 満州",
北吉林,c:CHI(106),"満州, シベリア",
南吉林,c:CHI(106),満州,
南黒竜江,c:CHI(204),満州,
山西,c:CHI(41),漢,
寧夏,c:CHI(54),漢,
甘粛,c:CHI(69),"漢, モンゴル",
西安,c:CHI(46),"漢, モンゴル",
青海,c:CHI(161),"モンゴル, チベット",
重慶,c:CHI(40),漢,
広東西部,"c:CHI(25), c:POR(1)","粤, ビン, 漢, ミャオ",
福建,c:CHI(31),"漢, ビン, 客家",
浙江,c:CHI(27),漢,
南京,c:CHI(7),漢,
江蘇,c:CHI(15),漢,
河南,c:CHI(33),漢,
河北,c:CHI(28),漢,
江西,c:CHI(37),"漢, 客家",
南安徽,c:CHI(17),漢,
北安徽,c:CHI(23),漢,
西湖北,c:CHI(29),漢,
東湖北,c:CHI(16),漢,
湖南,c:CHI(35),漢,
台湾,c:CHI(8),"漢, ビン, 台湾原住民",
ウーシマー,c:FIN(30),"フィンランド, スウェーデン",スウェーデン
オーランド,c:FIN(2),スウェーデン,スウェーデン
西カレリア,c:FIN(19),フィンランド,スウェーデン
ポフヤンマー,c:FIN(27),"フィンランド, スウェーデン",スウェーデン
クオピオ,c:FIN(32),フィンランド,
オウル,c:FIN(134),"フィンランド, サーミ, スウェーデン",スウェーデン
タリン,c:UBD(12),"東ドイツ, エストニア",
北リボニア,c:UBD(10),"東ドイツ, エストニア",
南リボニア,"c:RUS(6), c:UBD(12)","東ドイツ, ラトビア",
クールラント,c:UBD(13),"東ドイツ, ラトビア",
リトアニア,c:RUS(23),リトアニア,
ヴィルニュス,c:RUS(3),リトアニア,
チュクチ,c:RUS(474),"イヌイット, シベリア",
ネネツ,c:RUS(382),"ロシア, ウゴル",
東カレリア,c:RUS(111),"ロシア, カレリア, フィンランド",
コラ,c:RUS(110),"ロシア, サーミ, フィンランド",
アルハンゲリスク,c:RUS(81),"ロシア, ウゴル",
サラトフ,c:RUS(46),"東ドイツ, ロシア, タタール",
ホラスミア,"c:KHI(23), c:KZH(13), c:TRM(5)","ウズベク, カザフ",
ウズベキスタン,c:BUK(66),"ウズベク, カザフ",
タジキスタン,"c:KOK(25), c:BUK(10)","ウズベク, タジク",
キルギス,"c:KOK(30), c:CHI(27)","ウズベク, キルギス",
ウラリスク,"c:RUS(52), c:KZH(75), c:TRM(26)",カザフ,
トルクメン,"c:TRM(81), c:KHI(10)","ウズベク, トルクメン",
セミパラチンスク,c:OZH(144),"カザフ, キルギス",
イリ,c:CHI(121),"カザフ, ウイグル, キルギス",
アクモリンスク,"c:OZH(164), c:RUS(48)","カザフ, ウズベク",
カムチャツカ,c:RUS(257),シベリア,
オホーツク,c:RUS(336),"シベリア, ロシア",
ヤクーツク,c:RUS(1207),"ロシア, ヤクート",
チタ,c:RUS(202),"ロシア, ブリヤート",
イルクーツク,c:RUS(350),"ロシア, ブリヤート",
トムスク,c:RUS(301),"シベリア, ロシア",
トゥバ,c:CHI(68),トゥバ,
トボリスク,c:RUS(155),"ロシア, シベリア, ウゴル",
上エニセイスク,c:RUS(1559),"ロシア, シベリア",
オビ,c:RUS(488),ウゴル,
ウラル,c:RUS(123),"ロシア, ウゴル",
サマーラ,"c:RUS(66), c:KZH(10)","ロシア, タタール",
カザン,c:RUS(38),"ロシア, タタール",
ペルミ,c:RUS(90),"ロシア, ウゴル",
ヴォログダ,c:RUS(282),ロシア,
ノヴゴロド,c:RUS(70),ロシア,
モスクワ,c:RUS(12),ロシア,
ダゲスタン,"c:RUS(7), c:CHC(6)",北カフカース,"チェチェン, ロシア"
クバーニ,"c:RUS(18), c:CIR(13)",チェルケス,"チェルケス, ロシア"
スタヴロポリ,c:RUS(25),ロシア,ロシア
アストラハン,c:RUS(31),ロシア,
クリミア,c:RUS(9),"ロシア, タタール, ウクライナ",
ハルキウ,c:RUS(34),"ウクライナ, ロシア",
クルスク,c:RUS(37),"ウクライナ, ロシア",
トヴェリ,c:RUS(31),ロシア,
オデッサ,c:RUS(35),ウクライナ,
ベッサラビア,c:RUS(14),"ルーマニア, ウクライナ",モルダヴィア
トゥーラ,c:RUS(44),ロシア,
スモレンスク,c:RUS(25),ロシア,
マヒリョウ,c:RUS(22),"白ロシア, ロシア",
カンパニア,c:SIC(6),南イタリア,
アブルッツォ,c:SIC(5),南イタリア,
カラブリア,c:SIC(4),南イタリア,
プッリャ,c:SIC(7),南イタリア,
西ガリツィア,"c:AUS(10), c:KRA(2)",ポーランド,
東ガリツィア,c:AUS(17),"ポーランド, ウクライナ",
スロバキア,c:HUN(18),"スロバキア, ハンガリー",
ルテニア,c:HUN(5),"ウクライナ, スロバキア, ハンガリー",
ダルマチア,c:AUS(3),"クロアチア, セルビア",
クロアチア,c:CRO(8),"クロアチア, セルビア",
スラヴォニア,c:CRO(7),"クロアチア, セルビア",
パルティウム,c:HUN(6),"ハンガリー, ルーマニア",
ドゥナーントゥール,c:HUN(17),ハンガリー,
イストリア,c:AUS(6),"クロアチア, スロベニア, 北イタリア",
ロンバルディア,c:AUS(8),北イタリア,
ボヘミア,c:AUS(21),"チェコ, 南ドイツ",
モラヴィア,c:AUS(8),"チェコ, 南ドイツ",
ハンガリー大平原,c:HUN(19),ハンガリー,
シュタイアーマルク,c:AUS(8),南ドイツ,
チロル,c:AUS(9),南ドイツ,
オーストリア,c:AUS(11),南ドイツ,
南チロル,c:AUS(4),"南ドイツ, 北イタリア",
スロベニア,c:AUS(4),"南ドイツ, スロベニア",
ヴォヤヴォディナ,c:HUN(6),"ハンガリー, セルビア",セルビア
ポーゼン,c:PRU(12),"北ドイツ, ポーランド",
ヴェストファーレン,"c:PRU(6), c:LIP(1), c:SCM(1)",北ドイツ,
アンハルト,"c:PRU(9), c:ANH(2)",北ドイツ,
西プロイセン,c:PRU(9),"北ドイツ, ポーランド",
東プロイセン,c:PRU(19),"北ドイツ, ポーランド, リトアニア",
ラインラント,"c:PRU(4), c:BAV(2)",北ドイツ,
北ライン,c:PRU(6),北ドイツ,
ルール,c:PRU(4),北ドイツ,
下シレジア,c:PRU(9),"北ドイツ, ソルブ",
上シレジア,"c:PRU(8), c:AUS(3)","北ドイツ, ポーランド, チェコ",
ブランデンブルク,c:PRU(16),北ドイツ,
シュレースヴィヒ＝ホルシュタイン,"c:HOL(3), c:LUB(1), c:SCH(4)","デンマーク, 北ドイツ",
ヴュルテンベルク,"c:WUR(5), c:HOH(1)","南ドイツ, アレマン",
バーデン,c:BAD(5),"南ドイツ, アレマン",
ハノーファー,"c:OLD(3), c:HAN(8)",北ドイツ,
バイエルン,c:BAV(17),南ドイツ,
フランケン,c:BAV(8),南ドイツ,
ザクセン,"c:SAX(6), c:MEI(2), c:WEI(1), c:COB(1), c:SCW(1)","北ドイツ, ソルブ",
ブラウンシュヴァイク,"c:HAN(1), c:BRA(2), c:PRU(2)",北ドイツ,
ヘッセ,"c:FRM(1), c:HES(3), c:HEK(4), c:NAS(2), c:WLD(1)",北ドイツ,
ピエモンテ,c:SAR(12),北イタリア,
サルデーニャ,c:SAR(8),南イタリア,
タラパカ,c:SPU(13),"南アンデス, アイマラ",
アントファガスタ,c:BOL(25),"南アンデス, アイマラ",チリ
フロドナ,c:RUS(32),白ロシア,
ワルシャワ,c:RUS(24),ポーランド,
ルブリン,c:RUS(12),ポーランド,
プウォツク,c:RUS(15),ポーランド,
ヴォルィーニ,c:RUS(12),ウクライナ,
キーウ,c:RUS(44),ウクライナ,
メクレンブルク,"c:MEC(5), c:MST(2)",北ドイツ,
マルタ,c:GBR(2),マルタ,
ウンブリア,c:PAP(6),南イタリア,
バナト,c:HUN(9),"ハンガリー, ルーマニア, セルビア",
コルシカ,c:FRA(3),コルシカ,
ユタ,"c:MEX(24), c:NVJ(4), c:UTE(36)",パイユート,メキシコ
サウスカロライナ,c:USA(19),"ディキシー, アフリカ系アメリカ",
チアパス,"c:MEX(10), c:UCA(4)","メキシコ, マヤ",メキシコ
サンサルバドル,c:UCA(4),中央アメリカ,
アダナ,"c:EGY(12), c:TUR(3)","トルコ, アルメニア, クルド",トルコ
デリゾール,c:TUR(24),"マシュリク, クルド, アッシリア",
バハ・カリフォルニア,c:MEX(28),"メキシコ, オオダム",
コノート,c:GBR(8),アイルランド,
フェルガナ,c:KOK(16),"キルギス, ウズベク, タジク",
メルブ,"c:TRM(30), c:BUK(6), c:KHI(7)",トルクメン,
シルダリヤ,"c:OZH(98), c:KZH(45), c:KOK(28), c:UZH(41)","カザフ, ウズベク",
アクトベ,c:KZH(99),カザフ,
カルムイク,c:RUS(25),カルムイク,
北コーカサス,"c:RUS(16), c:CHC(4), c:CIR(6)","北カフカース, チェチェン","チェチェン, ロシア"
アレクサンドロフスク,c:RUS(26),"ロシア, ウクライナ",
チェルニヒウ,c:RUS(22),"ウクライナ, ロシア",
タンボフ,c:RUS(41),"ロシア, モルドビン",
リャザン,c:RUS(24),ロシア,
ヴィーツェプスク,c:RUS(16),白ロシア,
プスコフ,c:RUS(26),ロシア,
ヤロスラヴリ,c:RUS(51),ロシア,
ニジニ・ノヴゴロド,c:RUS(39),ロシア,
チェボクサル,c:RUS(18),"ロシア, チュヴァシ, マリ",
ヴャトカ,c:RUS(59),"ロシア, ウドムルト",
ウファ,c:RUS(55),"バシキール, ロシア",
スルグト,c:RUS(312),"ウゴル, ロシア",
クラスノヤルスク,c:RUS(136),ロシア,
アルタイ,c:CHI(54),"ロシア, モンゴル",
ブリヤーティア,c:RUS(127),"ロシア, ブリヤート",
コルィマ,c:RUS(1060),"ロシア, ヤクート",
北黒竜江,c:CHI(258),シベリア,
チェリャビンスク,"c:RUS(38), c:KZH(9), c:OZH(5)","ロシア, バシキール",
割譲地区,"c:BIC(12), c:KNO(2)","テルグ, カンナダ, ダッキニー",
ブンデールカンド,"c:BAG(9), c:BUN(4), c:SUR(7), c:JHN(4)","ブンデールカンド, バゲーリー, チャッティースガリー",
アーグラ,"c:BIC(34), c:GAR(3)","ヒンドゥスターン, パサン",
アラカン,"c:BIC(4), c:KKI(2)","ビルマ, ルシャイ",東インド
パンジャーブ丘,"c:BIC(2), c:GAR(5), c:PAN(14), c:PTA(4)","パハーリー, パンジャーブ",東インド
東ヒマラヤ,"c:SIK(1), c:TIB(19), c:BHU(9)",チベット,
