Tag,Color,Type,Tier,Social Hierarchy,Religion,Cultures,Capital,Is Named From Capital,Valid As Home Country For Separatists,Primary Unit Color,Secondary Unit Color,Tertiary Unit Color
山岳共和国,#61A2F2,承認国,公国,,,北カフカース,北コーカサス,False,,,,
ドン・コサック軍,#25A8D9,承認国,公国,,,"ロシア, ウクライナ",ロストフ,False,,,,
シリア,#F1F5F0,非承認国家,公国,,スンナ派,マシュリク,シリア,False,,,,
トランスヨルダン首長国,#D40B1B,非承認国家,公国,,,"マシュリク, ベドウィン",トランスヨルダン,False,,,,
レバノン,#12C91B,非承認国家,公国,,,マシュリク,レバノン,False,,,,
湖南,#7EA4E0,非承認国家,王国,,,漢,湖南,False,,,,
安徽,#BB7EE0,非承認国家,王国,,,漢,南安徽,False,,,,
質,#CF4058,非承認国家,王国,,,漢,河北,False,,,,
山西,#5ED15E,非承認国家,王国,,,漢,山西,False,,,,
貴州,#256625,非承認国家,王国,,,漢,貴州,False,,,,
大城,#853808,非承認国家,王国,,,"漢, 粤, 庄",広西,False,,,,
四川,#2ABD44,非承認国家,王国,,,漢,四川,False,,,,
山東,#BD712A,非承認国家,王国,,,漢,山東,False,,,,
西北,#4490D4,非承認国家,王国,,,"漢, チベット",寧夏,False,,,,
太平天国,#649614,非承認国家,帝国,,プロテスタント,"漢, 客家",南京,False,,,,
グアラニー,#498BA6,分権型国家,公国,,,グアラニー,アルト・パラグアイ,False,,,,
クルディスタン,#C0F547,非承認国家,王国,,,クルド,モースル,False,,,,
ガリシア,#F0A782,承認国,公国,,,ガリシア,ガリシア,False,,,,
パレスチナ,#008E4C,非承認国家,公国,,スンナ派,マシュリク,パレスチナ,False,,,,
トルキスタン,#D50027,非承認国家,帝国,,,"ウズベク, キルギス, カザフ, トルクメン, タジク, ウイグル",ウズベキスタン,False,,,,
ザクセン＝コーブルク＝ゴータ,#B48994,承認国,公国,,,北ドイツ,ザクセン,False,,,,
ザクセン＝マイニンゲン,#90B56A,承認国,公国,,,北ドイツ,ザクセン,False,,,,
ザクセン＝ヴァイマル,#45BC2D,承認国,大公国,,,北ドイツ,ザクセン,False,,,,
シュヴァルツブルク,#625C5E,承認国,公国,,,北ドイツ,ザクセン,False,,,,
ヘッセン＝カッセル,#96374B,承認国,公国,,,北ドイツ,ヘッセ,False,,,,
リッペ,#CB3EB9,承認国,公国,,,北ドイツ,ヴェストファーレン,False,,,,
シャウムブルク＝リッペ,#199B9B,承認国,公国,,,北ドイツ,ヴェストファーレン,False,,,,
メクレンブルク＝シュトレーリッツ,#EFE86A,承認国,大公国,,,北ドイツ,メクレンブルク,False,,,,
ホーエンツォレルン,#30A960,承認国,公国,,,南ドイツ,ヴュルテンベルク,False,,,,
ヴァルデック,#A9C26B,承認国,公国,,,北ドイツ,ヘッセ,False,,,,
インド,#68447C,承認国,覇権国家,,,"アッサム, アワディー, バローチ, ベンガル, ビハール, グジャラート, カンナダ, マラヤーラム, マラーター, オリア, パンジャーブ, パサン, ラージプート, シンド, タミル, テルグ, ヒンドゥスターン, ブンデールカンド, パハーリー, ゴーンディー, バゲーリー, チャッティースガリー, ダッキニー",デリー,False,,,,
ミシガン,#00274C,承認国,公国,,,ヤンキー,ミシガン,True,,,,
チェルケス,#4B6037,非承認国家,公国,,,チェルケス,クバーニ,False,,,,
チェチェン,#233430,非承認国家,公国,,,チェチェン,北コーカサス,False,,,,
アッシリア,#6F38C8,承認国,王国,,,アッシリア,モースル,False,,,,
カルムイク,#EEDC59,非承認国家,公国,,,カルムイク,カルムイク,False,,,,
シュレースヴィヒ,#EBE15F,承認国,公国,,,"北ドイツ, デンマーク",シュレースヴィヒ＝ホルシュタイン,True,,,,
小ジュズ,#5A7878,非承認国家,公国,,,カザフ,ウラリスク,False,,,,
大ジュズ,#466450,非承認国家,公国,,,カザフ,アクモリンスク,False,,,,
中ジュズ,#505064,非承認国家,公国,,,カザフ,セミパラチンスク,False,,,,
南カフカース,#C86437,承認国,帝国,,,"アゼルバイジャン, アルメニア, ジョージア",チフリス,False,,,,
サヴォイ,#EBC4E7,承認国,公国,,,フランコ・プロヴァンサル,サヴォイ,False,,,,
ラインラント,#055505,承認国,公国,,,北ドイツ,北ライン,True,,,,
パリ・コミューン,#ED2939,承認国,帝国,,,フランス,イル＝ド＝フランス,False,,,,
カレリア,#163F1A,承認国,公国,,,カレリア,東カレリア,False,,,,
タタールスタン,#1FDAE5,承認国,公国,,,タタール,カザン,False,,,,
バシキール,#47DB81,承認国,公国,,,バシキール,ウファ,False,,,,
ブリヤーティア,#323278,承認国,公国,,,ブリヤート,ブリヤーティア,False,,,,
カムチャツカ,#192F77,承認国,公国,,,シベリア,カムチャツカ,False,,,,
チュクチ,#63ECF0,承認国,公国,,,シベリア,チュクチ,False,,,,
アルタイ,#4A79C6,承認国,公国,,,モンゴル,アルタイ,False,,,,
ウラル,#375958,承認国,公国,,,ロシア,ウラル,False,,,,
ハンティ・マンシ,#9CBEC4,承認国,公国,,,ウゴル,スルグト,False,,,,
ウドムルト,#520C0C,承認国,公国,,,ウドムルト,ヴャトカ,False,,,,
チュヴァシ,#F97D04,承認国,公国,,,チュヴァシ,チェボクサル,False,,,,
エルジャ・モクシャ,#DE93E2,承認国,公国,,,モルドビン,タンボフ,False,,,,
マリ・エル,#8B62C1,承認国,公国,,,マリ,チェボクサル,False,,,,
タジキスタン,#2D552D,承認国,大公国,,,タジク,タジキスタン,False,,,,
ウズベキスタン,#C7C7AA,承認国,大公国,,,ウズベク,フェルガナ,False,,,,
キルギス,#A15757,承認国,大公国,,,キルギス,キルギス,False,,,,
パウリスタニア,#45674D,承認国,公国,,,パウリスタ,サンパウロ,False,,,,
赤道連邦,#A8C1B7,承認国,公国,,,ノルデスティーノ,ペルナンブーコ,False,,,,
サンタカタリーナ,#DFF968,承認国,公国,,,スリスタ,サンタカタリーナ,False,,,,
ミナスジェライス,#20BF94,承認国,公国,,,ブラジル,ミナスジェライス,False,,,,
バヒア,#C5CEBF,承認国,公国,,,ノルデスティーノ,バイーア,False,,,,
コーンウォール,#C25E3F,承認国,公国,,,イングランド,ウェストカントリー,False,,,,
アンデス連邦,#DCDCF5,承認国,覇権国家,,,"北アンデス, 南アンデス",パナマ,False,,,,
ペルー・ボリビア,#EA6BA3,承認国,帝国,,,南アンデス,ラパス,False,,,,
イキチャ,#F5D250,非承認国家,公国,,,ケチュア,イカ,False,,,,
北ペルー,#9D3737,承認国,公国,,,南アンデス,リマ,False,,,,
南ペルー,#37A74D,承認国,公国,,,南アンデス,イカ,False,,,,
サン・マルコ,#6E0A2D,承認国,公国,,,北イタリア,ロンバルディア,False,,,,
中央ヨーロッパ,#FAFAF5,承認国,覇権国家,,,"北ドイツ, 南ドイツ, チェコ, オランダ, フランドル, ワロン, アレマン, 北イタリア, スロベニア",オーストリア,False,,,,
ネーデルラント連合,#FF761C,承認国,帝国,,,"オランダ, フランドル, ワロン",ホランド,False,,,,
ライン連邦,#4DA580,承認国,帝国,,,"北ドイツ, 南ドイツ",ヘッセ,False,,,,
リオ・デ・ラ・プラタ,#8287F0,承認国,帝国,,,プラティニア,ブエノスアイレス,False,,,,
ノースカロライナ,#7BAFD4,承認国,都市国家,,,ディキシー,ノースカロライナ,False,,,,
サウスカロライナ,#F56600,承認国,都市国家,,,ディキシー,サウスカロライナ,False,,,,
カロライナ,#8771C4,承認国,公国,,,ディキシー,ノースカロライナ,False,,,,
ジョージア,#B50027,承認国,公国,,,ディキシー,ジョージア,False,,,,
フロリダ,#FFC68E,承認国,公国,,,ディキシー,フロリダ,False,,,,
パキスタン,#A49D60,非承認国家,帝国,,スンナ派,"カシミール, パンジャーブ, シンド, バローチ, パシュトゥーン",シンド,False,,,,
北アメリカ大陸,#BE8552,非承認国家,帝国,,,"チェロキー, イロコイ, スー",オクラホマ,False,,,,
カブール,#5F5F6D,非承認国家,公国,,,"パシュトゥーン, タジク",カブリスタン,False,,,,
カンダハル,#4771C1,非承認国家,公国,,,"パシュトゥーン, タジク",カンダハル,False,,,,
ヘラート,#508771,非承認国家,公国,,,"パシュトゥーン, ペルシア",ヘラート,False,,,,
チトラール,#60C1B6,非承認国家,公国,,,チトラール,パシュトゥーニスタン,False,,,,
マイマナ,#CCD203,非承認国家,公国,,,"ウズベク, トルクメン, タジク",南トルキスタン,False,,,,
クンドゥズ,#994C00,非承認国家,公国,,,"ウズベク, タジク",南トルキスタン,False,,,,
アラビスタン,#8C6698,非承認国家,公国,,,マシュリク,アラビスタン,False,,,,
バハーワルプル,#5D946B,非承認国家,公国,イギリス領インドのカースト制度,スンナ派,"パンジャーブ, シンド",パンジャーブ,False,,,,
トルクメニア,#9C4A4A,分権型国家,公国,,,トルクメン,トルクメン,False,,,,
アブハジア,#5CBC49,承認国,公国,,,北カフカース,チフリス,False,,,,
ロレスターン,#CFD52F,非承認国家,公国,,,ロル,ロレスターン,False,,,,
マーザンダラーン,#D99058,非承認国家,公国,,,マーザンダラーン,マーザンダラーン,False,,,,
北洋,#FCB93D,非承認国家,王国,,,漢,北京,False,,,,
カフィリスタン,#C35214,非承認国家,公国,,ヒンドゥー教,"チトラール, パシュトゥーン",カブリスタン,False,,,,
リンブルフ,#160B58,承認国,公国,,,オランダ,ヘルレ,False,,,,
ガルワール,#3C9A87,非承認国家,公国,イギリス領インドのカースト制度,,パハーリー,アーグラ,False,,,,
パティアーラ,#E5E71A,非承認国家,公国,イギリス領インドのカースト制度,,パンジャーブ,パンジャーブ丘,False,,,,
アルワル,#4169E1,非承認国家,公国,イギリス領インドのカースト制度,,ラージプート,ラージプーターナー,False,,,,
ナガ,#CCFACC,分権型国家,公国,,,ナガ,アッサム,False,,,,
ティペラ,#FFCCCC,分権型国家,公国,,,ルシャイ,アッサム,False,,,,
クキ,#BEBEBE,分権型国家,公国,,,ルシャイ,アッサム,False,,,,
カーシ,#FFDEAD,分権型国家,公国,,,ナガ,アッサム,False,,,,
コーチ・ビハール,#DC143C,非承認国家,公国,イギリス領インドのカースト制度,ヒンドゥー教,ベンガル,東ベンガル,False,,,,
シャン,#CCE5FF,非承認国家,公国,,,シャン,シャン,False,,,,
ジャーンシ,#FF8C00,非承認国家,公国,イギリス領インドのカースト制度,,ブンデールカンド,ブンデールカンド,False,,,,
プドゥコッタイ,#228B22,非承認国家,公国,イギリス領インドのカースト制度,,タミル,カルナティック,False,,,,
コーター,#7B2C00,非承認国家,公国,イギリス領インドのカースト制度,,ラージプート,ラージプーターナー,False,,,,
イダール,#1F66BB,非承認国家,公国,イギリス領インドのカースト制度,,グジャラート,グジャラート,False,,,,
ナワナガル,#DEDE00,非承認国家,公国,イギリス領インドのカースト制度,,グジャラート,グジャラート,False,,,,
ダラムプル,#177917,非承認国家,公国,,,グジャラート,グジャラート,False,,,,
ジュナガド,#C8E5ED,非承認国家,公国,,スンナ派,"グジャラート, パサン",グジャラート,False,,,,
バーオナガル,#7ADEDE,非承認国家,公国,イギリス領インドのカースト制度,,グジャラート,グジャラート,False,,,,
パランプル,#DEDEDE,非承認国家,公国,,スンナ派,"グジャラート, パサン",グジャラート,False,,,,
サタラ,#FF9933,非承認国家,公国,イギリス領インドのカースト制度,,マラーター,ボンベイ,False,,,,
コールハープル,#BC1540,非承認国家,公国,イギリス領インドのカースト制度,,マラーター,ボンベイ,False,,,,
リーワー,#7B0E94,非承認国家,公国,イギリス領インドのカースト制度,,バゲーリー,ブンデールカンド,False,,,,
スルグジャ,#3CDE4B,非承認国家,公国,イギリス領インドのカースト制度,,チャッティースガリー,ブンデールカンド,False,,,,
カルヌール,#BB0163,非承認国家,公国,イギリス領インドのカースト制度,スンナ派,"パサン, ダッキニー, テルグ",割譲地区,False,,,,
ジャイプル,#EDAEDD,非承認国家,公国,イギリス領インドのカースト制度,,オリア,オリッサ,False,,,,
マユルバニ,#EDCC03,非承認国家,公国,イギリス領インドのカースト制度,,オリア,オリッサ,False,,,,
パトナ,#721964,非承認国家,公国,イギリス領インドのカースト制度,,オリア,オリッサ,False,,,,
ナルシンハプル,#1F91D9,非承認国家,公国,イギリス領インドのカースト制度,,オリア,オリッサ,False,,,,
カーラン,#6A91FF,非承認国家,公国,,,バローチ,バルーチスターン,False,,,,
ラス・ベラ,#BCC0BC,非承認国家,公国,,,バローチ,バルーチスターン,False,,,,
カイルプール,#149201,非承認国家,公国,,,バローチ,シンド,False,,,,
ディル,#01411C,非承認国家,公国,,,パシュトゥーン,パシュトゥーニスタン,False,,,,
スワット,#F4C416,非承認国家,公国,,,パシュトゥーン,パシュトゥーニスタン,False,,,,
カルナティック,#E84F8E,非承認国家,王国,,,タミル,カルナティック,False,,,,
ラージプーターナー,#310D16,非承認国家,王国,,,ラージプート,ラージプーターナー,False,,,,
マハラシュトラ,#310D16,非承認国家,帝国,,,マラーター,ボンベイ,False,,,,
グジャラート,#E7E06B,非承認国家,王国,,,グジャラート,グジャラート,False,,,,
ドラヴィダ・ナドゥ,#FFF5EE,非承認国家,帝国,,,"タミル, テルグ, マラヤーラム, カンナダ",カルナティック,False,,,,
コーチン,#FFBCE1,非承認国家,公国,イギリス領インドのカースト制度,,マラヤーラム,マラバル,False,,,,
アラスカ,#F9FBFF,植民地国家,公国,,,ロシア,アラスカ,False,,,,
セイロン,#003366,植民地国家,公国,,,イングランド,セイロン,False,,,,
モルディブ,#00843D,非承認国家,公国,イギリス領インドのカースト制度,スンナ派,シンハラ,セイロン,False,,,,
ビハール,#FCEF3C,非承認国家,公国,,,ビハール,ビハール,False,,,,
アラカン,#D4D397,非承認国家,公国,,,ビルマ,アラカン,False,,,,
インドスタン,#2D782D,承認国,王国,,スンナ派,"パンジャーブ, シンド",パンジャーブ,False,,,,
ムアン・プアン,#6F03FC,非承認国家,公国,,,ラオス,ラオス,False,,,,
高地クメール,#03A5FC,分権型国家,公国,,精霊信仰,クメール,カンボジア,False,,,,
デガ,#EBDE34,分権型国家,公国,,精霊信仰,チャンパ,アンナム,False,,,,
シップソンチャウタイ,#32A2D2,分権型国家,公国,,精霊信仰,ラオス,トンキン,False,,,,
バナト,#3B685E,承認国,公国,,カトリック,"南ドイツ, セルビア",ヴォヤヴォディナ,False,,,,
エデン,#E2C26A,非承認国家,公国,,無神論者,プロメテウス,バイエルン,False,,,,
カルリスタ・スペイン,#D9171A,承認国,王国,,カトリック,スペイン,バスク州,False,,,,
アラゴン,#A64448,承認国,王国,,,アラゴン,アラゴン,False,,,,
レオン,#630E57,承認国,王国,,,アストゥリアス・レオン,レオン,False,,,,
アストゥリアス,#68ADE6,承認国,公国,,,アストゥリアス・レオン,アストゥリアス,False,,,,
ヌエバ・エスパーニャ,#F7E77C,植民地国家,王国,,,スペイン,メキシコ,False,,,,
ヌエバ・グラナダ,#C7B854,植民地国家,王国,,,スペイン,クンディナマルカ,False,,,,
ペルー,#EBCF17,植民地国家,王国,,,スペイン,リマ,False,,,,
リオ・デ・ラ・プラタ,#C3B34B,植民地国家,王国,,,スペイン,ブエノスアイレス,False,,,,
アルジェリア,#DCCA60,非承認国家,王国,,,"マグリブ, アマーズィーグ",アルジェ,False,,,,
コンスタンティン,#E40310,非承認国家,公国,,,"マグリブ, アマーズィーグ",コンスタンティーヌ,False,,,,
エジプト,#FFCD9B,非承認国家,王国,,,ミスル,下エジプト,False,,,,
エチオピア,#3878BF,非承認国家,帝国,,,"アムハラ, オロモ, ティグライ",ゴンダール,False,,,,
マダガスカル,#759678,非承認国家,王国,,,マダガスカル,北マダガスカル,False,,,,
マスカラ,#008130,非承認国家,公国,,,"マグリブ, アマーズィーグ",オラン,False,,,,
リベリア,#C18A53,非承認国家,公国,,,アフリカ系アメリカ,穀物海岸,True,,,,
モロッコ,#E09271,非承認国家,王国,,,"マグリブ, アマーズィーグ",フェズ,False,,,,
ナタリア,#6AB22E,承認国,公国,,,ボーア,ズールーランド,False,,,,
オラニエ,#E08B2F,非承認国家,公国,,,ボーア,トランスオランジア,True,,,,
南アフリカ,#B49E7F,植民地国家,王国,,,イングランド,ケープ植民地,False,,,,
ソコト,#008751,非承認国家,王国,,,"ハウサ, フルベ",ハウサランド,False,,,,
トリポリ,#B48994,非承認国家,公国,,,マグリブ,トリポリ,True,,,,
トランスヴァール,#8CB79A,非承認国家,公国,,,ボーア,トランスヴァール,True,,,,
チュニス,#836555,非承認国家,王国,,,マグリブ,チュニジア,True,,,,
ザンジバル,#A6BDC7,非承認国家,公国,,,スワヒリ,ザンジバル,True,,,,
ズールー,#CCBAC9,非承認国家,王国,,,ズールー,ズールーランド,True,,,,
シエラレオネ,#7BCE65,植民地国家,公国,,,イングランド,シエラレオネ,True,,,,
ンデベレ,#8E5037,分権型国家,公国,,,"ングニ, ショナ",ザンベジ,False,,,,
マショナ,#C1BD97,分権型国家,公国,,,ショナ,ザンベジ,False,,,,
マニカ,#3C938C,分権型国家,公国,,,ショナ,ザンベジア,False,,,,
マセコ,#4B4B94,分権型国家,公国,,,ングニ,ザンベジア,False,,,,
ムタパ,#CC7944,分権型国家,公国,,,ショナ,ザンベジ,False,,,,
ナマ,#317722,分権型国家,公国,,,コイサン,ナマクアランド,False,,,,
ヘレロ,#DD8C28,分権型国家,公国,,,"ヘレロ, コイサン",ヘレロランド,False,,,,
オバンボ,#F02879,分権型国家,公国,,,カヴァンゴ・バントゥー,ヘレロランド,False,,,,
サン,#6E8225,分権型国家,公国,,,コイサン,ボツワナ,False,,,,
バロツェ,#B06AA8,分権型国家,公国,,,カヴァンゴ・バントゥー,ザンビア,False,,,,
ツワナ,#75AADB,分権型国家,公国,,,ツワナ,ボツワナ,False,,,,
グリカランド,#7A694D,非承認国家,公国,,,グリカ,北ケープ,False,,,,
フィリッポリス,#B0B083,非承認国家,公国,,,グリカ,トランスオランジア,False,,,,
カゼンベ,#CAD9AA,分権型国家,公国,,,ルンダ,カゼンベ,False,,,,
ベンバ,#C05A79,分権型国家,公国,,,湖水バントゥー,カゼンベ,False,,,,
カサンジェ,#666965,分権型国家,公国,,,"ルンダ, オヴィンブンド",東アンゴラ,False,,,,
オヴィンブンド,#6B5E34,分権型国家,公国,,,オヴィンブンド,南アンゴラ,False,,,,
チョクウェ,#63A027,分権型国家,公国,,,"ルンダ, オヴィンブンド",東アンゴラ,False,,,,
ルンダ,#C73C27,分権型国家,公国,,,"ルンダ, オヴィンブンド",東アンゴラ,False,,,,
クバ,#9F3CBD,分権型国家,公国,,,河川バントゥー,カサイ,False,,,,
マングベツ,#4B81B6,分権型国家,公国,,,河川バントゥー,東コンゴ,False,,,,
ニャムウェジ,#A47D1A,分権型国家,公国,,,ニャムウェジ,タンガニーカ,False,,,,
ヘヘ,#7E5483,分権型国家,公国,,,湖水バントゥー,ルフィジ,False,,,,
フータ・ジャロン,#E67D7F,非承認国家,公国,,,フルベ,ギニア,False,,,,
ブガンダ,#1515E3,非承認国家,公国,,,ガンダ,ウガンダ,False,,,,
アシャンティ,#6162C3,非承認国家,王国,,,アカン,ゴールドコースト,False,,,,
ヤカ,#63A0EF,分権型国家,公国,,,"バコンゴ, ルンダ",バ・コンゴ,False,,,,
コンゴ,#C7A08B,非承認国家,公国,,カトリック,バコンゴ,バ・コンゴ,False,,,,
ロアンゴ,#C8CA55,分権型国家,公国,,,バコンゴ,コンゴ,False,,,,
ファン,#C1AA39,分権型国家,公国,,,芳,ガボン,False,,,,
バンガラ,#298787,分権型国家,公国,,,"モンゴ, 河川バントゥー",エクアトゥール,False,,,,
バストランド,#896AD9,非承認国家,公国,,,ソト,ズールーランド,False,,,,
テケ,#63A08B,分権型国家,公国,,,バコンゴ,コンゴ,False,,,,
ボバンギ,#D39570,分権型国家,公国,,,"モンゴ, バコンゴ",エクアトゥール,False,,,,
レガ,#AF671F,分権型国家,公国,,,河川バントゥー,東コンゴ,False,,,,
ヘムバ,#B49296,分権型国家,公国,,,河川バントゥー,東コンゴ,False,,,,
ルバ,#2A3F99,分権型国家,公国,,,ルバ,カタンガ,False,,,,
ブニョロ,#AE1842,非承認国家,公国,,,"ガンダ, 湖水バントゥー",ウガンダ,False,,,,
アンコール,#7EA262,非承認国家,公国,,,"ガンダ, 湖水バントゥー",ウガンダ,False,,,,
アチョリ,#A6E1D9,分権型国家,公国,,,"羅, 湖水バントゥー",ウガンダ,False,,,,
カラグウェ,#30B1A9,非承認国家,公国,,,"湖水バントゥー, ガンダ",タンガニーカ,False,,,,
ルワンダ,#D5A012,非承認国家,公国,,,ルワンダ,タンガニーカ,False,,,,
ブルンジ,#15BF10,非承認国家,公国,,,ルンディ,タンガニーカ,False,,,,
マサイ,#BE6754,分権型国家,公国,,,マサイ,リフトバレー,False,,,,
トゥルカナ,#6754BE,分権型国家,公国,,,"ナイル, マサイ",リフトバレー,False,,,,
羅,#9999A8,分権型国家,公国,,,羅,リフトバレー,False,,,,
ゴゴ,#F4E4A6,分権型国家,公国,,,湖水バントゥー,ルフィジ,False,,,,
サング,#CB3642,分権型国家,公国,,,湖水バントゥー,ルフィジ,False,,,,
キクユ,#A9345A,分権型国家,公国,,,キクユ,ケニア,False,,,,
ワルサンガリ,#126180,非承認国家,公国,,,ソマリ,ソマリランド,False,,,,
ゲレディ,#26A043,非承認国家,公国,,,ソマリ,ソマリランド,False,,,,
マジェルテーン,#DCC864,非承認国家,公国,,,ソマリ,ソマリランド,False,,,,
ダルフール,#2CA046,非承認国家,公国,,,"フール, ベドウィン",ダルフール,False,,,,
イサック,#E0FFB6,非承認国家,公国,,,ソマリ,ソマリランド,False,,,,
ホビョ,#FF4907,非承認国家,公国,,,ソマリ,ソマリランド,False,,,,
ダル・アル・クティ,#7B864A,分権型国家,公国,,,"フール, 赤道バントゥー",ウバンギ・シャリ,False,,,,
アザンデ,#D0E139,分権型国家,公国,,,アザンデ,東コンゴ,False,,,,
ダール・フェルティト,#A75C38,分権型国家,公国,,,"赤道バントゥー, アザンデ",エクアトリア,False,,,,
ディンカ,#4E634B,分権型国家,公国,,,ディンカ,エクアトリア,False,,,,
ヌエル,#E6E3F0,分権型国家,公国,,,ヌエル,エクアトリア,False,,,,
トポサ,#E86544,分権型国家,公国,,,ナイル,エクアトリア,False,,,,
オーッサ,#7D7D64,非承認国家,公国,,,アファル,ゴンダール,False,,,,
シェワ,#01C8C8,非承認国家,公国,,,"アムハラ, オロモ",オロミア,False,,,,
ハラール,#AF4B0F,非承認国家,公国,,スンナ派,アムハラ,オロミア,False,,,,
ボラナ,#ECEC68,分権型国家,公国,,スンナ派,オロモ,アムハラ,False,,,,
カッファ,#960019,非承認国家,公国,,東方諸教会,"シダマ, オロモ",アムハラ,False,,,,
シダモ,#5341A7,非承認国家,公国,,東方諸教会,シダマ,アムハラ,False,,,,
ウェレガ,#7ED0DE,非承認国家,公国,,,オロモ,アムハラ,False,,,,
ティグライ,#A7DACF,非承認国家,公国,,,"ティグライ, アムハラ",アムハラ,False,,,,
ゴジャム,#BF934F,非承認国家,公国,,,アムハラ,アムハラ,False,,,,
ウェロー,#DEC7A3,非承認国家,公国,,,アムハラ,アムハラ,False,,,,
ベゲムデル,#E4F368,非承認国家,公国,,,"アムハラ, オロモ, ティグライ",アムハラ,False,,,,
ボルヌ,#1E83A2,非承認国家,公国,,,カヌリ,ボルヌ,False,,,,
バギルミ,#407C9D,非承認国家,公国,,,バギルミ,ワッダイ,False,,,,
ワダイ,#C24229,非承認国家,公国,,,フール,ワッダイ,False,,,,
ケル・アイル,#1E1FA2,分権型国家,公国,,,トゥアレグ,ニジェール,False,,,,
マッシーナ,#E6E73E,非承認国家,公国,,,フルベ,東マリ,False,,,,
オヨ,#D3B8B3,非承認国家,公国,,,ヨルバ,ヨルバ州,False,,,,
ベナン,#6EAD81,非承認国家,公国,,,エド,ベナン,False,,,,
カジョール,#BDBBA6,分権型国家,公国,,,ウォロフ,セネガル,False,,,,
ジョロフ,#D7D77D,分権型国家,公国,,,ウォロフ,セネガル,False,,,,
フータ・トロ,#73CC66,非承認国家,公国,,,"フルベ, ウォロフ",セネガル,False,,,,
コング,#8962C3,分権型国家,公国,,,"ジュラ, セヌフォ",象牙海岸,False,,,,
ダホメ,#0B54B3,非承認国家,公国,,,フォン,ダホメ,False,,,,
モシ,#1B802D,分権型国家,公国,,,モシ,ヴォルタ,False,,,,
カアルタ,#7F1C2D,非承認国家,公国,,,バンバラ,西マリ,False,,,,
セグー,#1B1C91,非承認国家,公国,,,バンバラ,西マリ,False,,,,
トラルザ,#E67B11,分権型国家,公国,,,ビダン,モーリタニア,False,,,,
カアブ,#653F29,分権型国家,公国,,精霊信仰,マンデ,セネガル,False,,,,
ブンドゥ,#3C7636,分権型国家,公国,,,"フルベ, マンデ",セネガル,False,,,,
セレール,#39796F,分権型国家,公国,,精霊信仰,フルベ,セネガル,False,,,,
スス,#456D8E,分権型国家,公国,,,マンデ,ギニア,False,,,,
マンディンカ,#BF5335,分権型国家,公国,,,マンデ,ギニア,False,,,,
ゴビール,#E1B955,非承認国家,公国,,,ハウサ,外ハウサランド,False,,,,
バウレ,#DA682C,分権型国家,公国,,,アカン,ウィンドワード・コースト,False,,,,
クル,#5EA88E,分権型国家,公国,,,クル,ウィンドワード・コースト,False,,,,
カバドゥグー,#752436,分権型国家,公国,,,マンデ,ウィンドワード・コースト,False,,,,
アニ,#83D222,分権型国家,公国,,,アカン,象牙海岸,False,,,,
エウェ,#D22283,分権型国家,公国,,,エウェ,トーゴ,False,,,,
イボ,#771855,分権型国家,公国,,,イボ,ニジェール・デルタ,False,,,,
ドゥアラ,#167911,分権型国家,公国,,,赤道バントゥー,南カメルーン,False,,,,
トゥブ,#DCD261,分権型国家,公国,,,トゥブ,チャド,False,,,,
ケル・アハガル,#8AA846,分権型国家,公国,,,トゥアレグ,東サハラ,False,,,,
トゥアト,#426272,分権型国家,公国,,,アマーズィーグ,サハラ,False,,,,
タガント,#715F7A,分権型国家,公国,,,ビダン,内モーリタニア,False,,,,
ケル・アダグ,#D784A5,分権型国家,公国,,,トゥアレグ,ティンブクトゥ,False,,,,
バサ,#CB3025,分権型国家,公国,,,バサ,穀物海岸,False,,,,
ティリス,#6A5F4F,分権型国家,公国,,,ハラティン,モーリタニア,False,,,,
IBL,#8E86BB,分権型国家,公国,,,イビビオ,ニジェール・デルタ,False,,,,
キッシ,#3D4B6D,分権型国家,公国,,,キッシ,ギニア,False,,,,
高,#3EAF97,分権型国家,公国,,,ソンガイ,ティンブクトゥ,False,,,,
ティブ,#F0D564,分権型国家,公国,,,ティブ,ナイジェリア,False,,,,
サラ,#B3ECD9,分権型国家,公国,,,サラ,ウバンギ・シャリ,False,,,,
エクアトリア,#ECAD68,分権型国家,公国,,,ナイル,エクアトリア,False,,,,
ベジャ,#8C4187,分権型国家,公国,,,ベジャ,ドンゴラ,False,,,,
ヌバ,#8ABB48,分権型国家,公国,,,ヌバ,エクアトリア,False,,,,
スーダン,#BD9F45,非承認国家,王国,,,"スーダン, ベジャ, ベドウィン",青ナイル,False,,,,
ウスクマ,#657A9E,分権型国家,公国,,,スクマ,タンガニーカ,False,,,,
チェワ,#749D66,分権型国家,公国,,,チェワ,カゼンベ,False,,,,
ロムウェ,#C90A30,分権型国家,公国,,,ロムウェ,モザンビーク,False,,,,
マクア,#268C28,分権型国家,公国,,,マクア,モザンビーク,False,,,,
セナ,#5B8480,分権型国家,公国,,,セナ,モザンビーク,False,,,,
バトンガ,#C8C16C,分権型国家,公国,,,トンガ,ロウレンソ・マルケス,False,,,,
コサ,#5850A3,分権型国家,公国,,,コサ,東ケープ,False,,,,
ウヤオ,#C0CC6F,分権型国家,公国,,,ヤオ,モザンビーク,False,,,,
ジンバブエ,#00AD70,非承認国家,王国,,,"ショナ, ングニ",ザンベジア,False,,,,
マリ,#4BB31B,非承認国家,王国,,,"バンバラ, フルベ, ウォロフ, マンデ",西マリ,False,,,,
