|||||50|65|||||35|35|35|c
|BGCOLOR(#426F13):|~ARA|Arabia|アラビア|非承認国家|帝国|マシュリク&br;ベドウィン&br;ミスル&br;イエメン|||ヒジャーズ|||形成|
|BGCOLOR(#8E8C54):|~UBD|United Baltic Provinces|バルト連合州|承認国|大公国|ラトビア&br;エストニア&br;リトアニア|||南リボニア|初期|解放|形成|
|BGCOLOR(#ACAAAA):|~BYE|Belarus|ベラルーシ|承認国|王国|白ロシア|||ミンスク||解放||
|BGCOLOR(#DB1F3E):|~PLC|Poland-Lithuania|ポーランド＝リトアニア|承認国|帝国|ポーランド&br;リトアニア|||西ガリツィア|||形成|
|BGCOLOR(#FFF464):|~GCO|Gran Colombia|大コロンビア|承認国|帝国|北アンデス|||クンディナマルカ|||形成|
|BGCOLOR(#11E130):|~JAN|Jan Mayen|ヤンマイエン|承認国|都市国家|ノルウェー|||北ノルウェー||解放||
|BGCOLOR(#BC713D):|~BIC|East India|東インド|植民地国家|公国|イングランド||イギリス領インドのカースト制度|西ベンガル|初期|||
|BGCOLOR(#D7C3E1):|~BRI|Brittany|ブルターニュ|承認国|公国|ブルトン|||ブルターニュ||解放||
|BGCOLOR(#C4190A):|~PAT|Mapuche|マプチェ|分権型国家|公国|パタゴニア|||パタゴニア|初期|||
|BGCOLOR(#397C8A):|~THL|Tehuelche|テウェルチェ|分権型国家|公国|パタゴニア|||パタゴニア|初期|||
|BGCOLOR(#7A0E34):|~SLK|Selk’nam|セルクナム|分権型国家|公国|パタゴニア|||アラウカニア|初期|||
|BGCOLOR(#4526A2):|~TNG|Tonga|トンガ|分権型国家|公国|ポリネシア|||トンガ|初期|||
|BGCOLOR(#329632):|~WIN|West Indies|西インド諸島|承認国|王国|アフリカ系カリブ|||西インド諸島||解放|形成|
|BGCOLOR(#62588E):|~MAY|Maya|マヤ|非承認国家|王国|マヤ|||ユカタン||解放||
|BGCOLOR(#FAB500):|~IBE|Iberia|イベリア|承認国|帝国|スペイン&br;ポルトガル|||新カスティーリャ|||形成|
|BGCOLOR(#8A507E):|~ORG|Oregon|オレゴン|植民地国家|公国|ヤンキー&br;イギリス系カナダ|||オレゴン|初期|解放||
|BGCOLOR(#603913):|~COM|Comanche|コマンチェ|分権型国家|公国|コマンチェ|||テキサス|初期|||
|BGCOLOR(#567875):|~SEQ|Indian Territory|インディアン準州|非承認国家|公国|チェロキー&br;スー|||オクラホマ|初期|解放||
|BGCOLOR(#440E62):|~DKT|Dakota|ダコタ|分権型国家|公国|ダコタ|||ミネソタ||||
|BGCOLOR(#C672A8):|~LKT|Lakota|ラコタ|分権型国家|公国|ダコタ|||サウスダコタ|初期|||
|BGCOLOR(#7EB49A):|~NVJ|Navajo|ナバホ|分権型国家|公国|ナバホ|||アリゾナ|初期|||
|BGCOLOR(#DFCC7D):|~ARP|Arapaho|アラパホ|分権型国家|公国|スー|||コロラド|初期|||
|BGCOLOR(#DCBE32):|~NZP|Nimíipuu|ニミプー|分権型国家|公国|ネズ・パース|||アイダホ|初期|||
|BGCOLOR(#C76616):|~ABS|Absaroka|アブサロカ|分権型国家|公国|スー|||モンタナ|初期|||
|BGCOLOR(#3D9E7C):|~IRC|Iron Confederacy|鉄の連合|分権型国家|公国|クリー&br;スー|||サスカチュワン|初期|||
|BGCOLOR(#31540A):|~JAM|Jamaica|ジャマイカ|承認国|公国|アフリカ系カリブ|||ジャマイカ||解放||
|BGCOLOR(#00778C):|~BAH|Bahamas|バハマ|承認国|公国|アフリカ系カリブ|||バハマ||解放||
|BGCOLOR(#685C57):|~PCO|Puerto Rico|プエルトリコ|植民地国家|公国|カリベニョ|||ポルトリコ|初期|解放||
|BGCOLOR(#3D9999):|~MKT|Miskitia|ミスキティア|非承認国家|公国|ミスキート&br;アフリカ系カリブ|||ニカラグア|初期|解放||
|BGCOLOR(#008416):|~NAH|Anahuac|アナワク|非承認国家|公国|ナワ&br;ミシュテカ&br;サポテカ&br;タラスカ|||メキシコ||解放||
|BGCOLOR(#1A842C):|~GRN|Greenland|グリーンランド|承認国|公国|デンマーク&br;イヌイット|||グリーンランド||解放||
|BGCOLOR(#F0E69B):|~ANL|Andalusia|アンダルシア|承認国|公国|スペイン|||下アンダルシア||解放||
|BGCOLOR(#C6B241):|~CAS|Castile|カスティーリャ|承認国|王国|スペイン|||新カスティーリャ||解放||
|BGCOLOR(#1C9288):|~SMI|Sapmi|サーミ|非承認国家|都市国家|サーミ|||北ノルウェー||解放||
|BGCOLOR(#1C9288):|~MLT|Malta|マルタ|承認国|都市国家|マルタ|||マルタ||解放||
|BGCOLOR(#EC9F5A):|~PRM|Perm|ペルミ|非承認国家|公国|ウゴル|||ペルミ||||
|BGCOLOR(#EC9F5A):|~HZJ|Hazarajat|ハザーラジャート|非承認国家|公国|ハザーラ|||ハザリスタン||解放||
|BGCOLOR(#A575D0):|~TRC|Turkmenistan|トルクメニスタン|承認国|公国|トルクメン|||トルクメン||解放||
|BGCOLOR(#8B8AA0):|~SIB|Siberia|シベリア|非承認国家|王国|ヤクート&br;シベリア&br;イヌイット&br;ブリヤート|||トムスク||解放||
|BGCOLOR(#83B083):|~YAK|Yakutia|ヤクート|非承認国家|公国|ヤクート|||ヤクーツク||解放||
|BGCOLOR(#A3054D):|~ASM|Assam|アッサム|非承認国家|公国|アッサム|ヒンドゥー教|イギリス領インドのカースト制度|アッサム|初期|解放||
|BGCOLOR(#95BF75):|~MNP|Manipur|マニプル|非承認国家|公国|マニプル||イギリス領インドのカースト制度|アッサム|初期|解放||
|BGCOLOR(#B78D01):|~TOB|Toba|トバ|非承認国家|公国|バタク|||北スマトラ||解放||
|BGCOLOR(#C1A48E):|~KLT|Kalimantan|カリマンタン|非承認国家|公国|ボルネオ&br;ダヤク|||西ボルネオ||解放||
|BGCOLOR(#8CD2A0):|~HTH|Hathawaddy|ハンターワディー|非承認国家|公国|モン|||ペグー||解放||
|BGCOLOR(#489963):|~KRN|Karen|カレン|非承認国家|公国|カレン|||ペグー||解放||
|BGCOLOR(#F4EDCA):|~KHM|Khmu|クム|非承認国家|公国|クム|||ラオス||解放||
|BGCOLOR(#82BAC6):|~KHN|Kachin|カチン|非承認国家|公国|カチン|||サガイン||解放||
|BGCOLOR(#C9C57C):|~AIN|Ainu Mosir|アイヌモシリ|分権型国家|公国|アイヌ|||北海道|初期|解放||
|BGCOLOR(#812893):|~EZO|Ezo|蝦夷|非承認国家|公国|日本&br;アイヌ|||北海道||解放||
|BGCOLOR(#0067A5):|~QIA|Qian|黔|非承認国家|公国|ミャオ|||広東西部||解放||
|BGCOLOR(#DAEA0F):|~FRS|Formosa|台湾|非承認国家|公国|ビン|||台湾||解放||
|BGCOLOR(#F5F5DC):|~YUN|Yunnan|尹|非承認国家|公国|李|||雲南||解放||
|BGCOLOR(#5971DF):|~YUE|Yue|粤|非承認国家|公国|粤|||広東西部||解放||
|BGCOLOR(#9E7678):|~OAX|Oaxaca|オアハカ|分権型国家|公国|サポテカ&br;ミシュテカ|||オアハカ||||
|BGCOLOR(#9E1214):|~MCO|Michoacán|ミチョアカン|分権型国家|公国|タラスカ|||ハリスコ||||
|BGCOLOR(#7D5C6E):|~TWT|Tawantinsuyu|タワンティンスウユ|非承認国家|王国|ケチュア|||リマ||解放|形成|
|BGCOLOR(#ADD3EF):|~AYM|Aymara|アイマラ|非承認国家|公国|アイマラ|||ラパス||解放||
|BGCOLOR(#286041):|~WYU|Wayuu|ワユー|分権型国家|公国|グアヒロ|||アンティオキア||||
|BGCOLOR(#9DD1C0):|~TPI|Tupinamba|トゥピナンバ|分権型国家|公国|トゥピナンバ|||バイーア||||
|BGCOLOR(#A28008):|~PUE|Pueblo|プエブロ|非承認国家|公国|プエブロ|||ニューメキシコ||解放||
|BGCOLOR(#CDD6D8):|~NNV|Nunavut|ヌナブト|非承認国家|公国|イヌイット|||ヌナブト||解放||
|BGCOLOR(#7EB49A):|~NVL|Navajoland|ナヴァホランド|分権型国家|公国|ナバホ|||アリゾナ||||
|BGCOLOR(#586989):|~ATB|Athabaska|アサバスカ|分権型国家|公国|アサバスカ|||ノースウェスト準州|初期|||
|BGCOLOR(#699849):|~CSC|Cascadia|カスカディア|分権型国家|公国|セイリッシュ|||北コロンビア||||
|BGCOLOR(#57B650):|~IRO|Haudenosaunee|ホデノショニ|承認国|公国|イロコイ|||ニューヨーク||解放||
|BGCOLOR(#DC9325):|~CTF|Council of Three Fires|三火評議会|分権型国家|公国|アルゴンキン|||ミシガン||||
|BGCOLOR(#3298AD):|~SLS|Séliš|サリッシュ|分権型国家|公国|セイリッシュ|||モンタナ|初期|||
|BGCOLOR(#813807):|~BNN|Pannakwati|パンナクワティ|分権型国家|公国|パイユート|||アイダホ|初期|||
|BGCOLOR(#6C8BD0):|~MSC|Muscogee|マスコギー|非承認国家|公国|マスコギ|||フロリダ||||
|BGCOLOR(#925F6B):|~SML|Yat’siminoli|ヤットセミノーリ|分権型国家|公国|マスコギ|||フロリダ|初期|||
|BGCOLOR(#EB7EAF):|~UTE|Ute|ウテ|分権型国家|公国|パイユート|||ユタ|初期|||
|BGCOLOR(#FC5476):|~PWN|Pawnee|パウニー|分権型国家|公国|カド|||ネブラスカ|初期|||
|BGCOLOR(#C69E6D):|~APC|Apache|アパッチ|分権型国家|公国|アパッチ|||ニューメキシコ|初期|||
|BGCOLOR(#304799):|~BLF|Niitsitapi|ニイトシタピ|分権型国家|公国|スー|||アルバータ|初期|||
|BGCOLOR(#9CAA42):|~CCM|O’odham Country|オオダム国|分権型国家|公国|オオダム|||チワワ||||
|BGCOLOR(#377719):|~ORN|Orinoco|オリノコ|分権型国家|公国|カリブ|||ミランダ||||
|BGCOLOR(#A2B640):|~MUI|Muisca|ムイスカ|分権型国家|公国|ムイスカ|||クンディナマルカ||||
|BGCOLOR(#435080):|~SRB|Sorbia|ソルビア|承認国|公国|ソルブ|||ザクセン||解放||
|BGCOLOR(#148E14):|~YUC|Yucatán|ユカタン|承認国|公国|メキシコ|||ユカタン||解放||
|BGCOLOR(#141414):|~RIO|Río Grande|リオ・グランデ|承認国|公国|メキシコ|||リオ・グランデ||解放||
|BGCOLOR(#269B26):|~PNI|Piratini|ピラティニ|承認国|公国|スリスタ|||リオグランデ・ド・スル|初期|解放||
|BGCOLOR(#9B2E2E):|~CEY|Sri Lanka|スリランカ|非承認国家|公国|シンハラ|||セイロン||解放||
|BGCOLOR(#7D2F2F):|~BLH|Baluchistan|バルチスタン|非承認国家|王国|バローチ|||バルーチスターン||解放|形成|
|BGCOLOR(#292525):|~NGF|North German Federation|北ドイツ連邦|承認国|王国|北ドイツ|||ブランデンブルク|||形成|
|BGCOLOR(#B01207):|~SGF|South German Federation|南ドイツ連邦|承認国|王国|南ドイツ|||バイエルン|||形成|
|BGCOLOR(#6532FD):|~OCC|Occitania|オクシタニア|承認国|公国|オック|||ラングドック||解放||
|BGCOLOR(#44F2EC):|~TUV|Tuva|トゥバ|非承認国家|公国|トゥバ|||トゥバ||解放||
|BGCOLOR(#44F2EC):|~COR|Corsica|コルシカ|承認国|公国|コルシカ|||コルシカ||解放||
|BGCOLOR(#0B7327):|~TNS|Tungus|ツングース|非承認国家|公国|シベリア|||上エニセイスク||解放||
|BGCOLOR(#931919):|~FER|Far East|極東|非承認国家|公国|シベリア&br;イヌイット|||チタ||解放||
|BGCOLOR(#0B7327):|~IUS|Idel-Ural|イデル＝ウラル|承認国|王国|タタール&br;バシキール&br;ウドムルト&br;マリ&br;チュヴァシ&br;モルドビン|||カザン||解放||
|BGCOLOR(#61A2F2):|~NCA|Mountain Republic|山岳共和国|承認国|公国|北カフカース|||北コーカサス||解放||
|BGCOLOR(#25A8D9):|~DON|Don Cossack Host|ドン・コサック軍|承認国|公国|ロシア&br;ウクライナ|||ロストフ||解放||
|BGCOLOR(#F1F5F0):|~SYR|Syria|シリア|非承認国家|公国|マシュリク|スンナ派||シリア||解放||
|BGCOLOR(#D40B1B):|~EOT|Emirate of Transjordan|トランスヨルダン首長国|非承認国家|公国|マシュリク&br;ベドウィン|||トランスヨルダン||解放||
|BGCOLOR(#12C91B):|~LEB|Lebanon|レバノン|非承認国家|公国|マシュリク|||レバノン||解放||
|BGCOLOR(#7EA4E0):|~HNA|Hunan|湖南|非承認国家|王国|漢|||湖南||解放||
|BGCOLOR(#BB7EE0):|~AHU|Anhui|安徽|非承認国家|王国|漢|||南安徽||解放||
|BGCOLOR(#CF4058):|~ZHI|Zhili|質|非承認国家|王国|漢|||河北||解放||
|BGCOLOR(#5ED15E):|~SHN|Shanxi|山西|非承認国家|王国|漢|||山西||解放||
|BGCOLOR(#256625):|~GUI|Guizhou|貴州|非承認国家|王国|漢|||貴州||解放||
|BGCOLOR(#853808):|~GNG|Da Cheng|大城|非承認国家|王国|漢&br;粤&br;庄|||広西||解放||
|BGCOLOR(#2ABD44):|~SIH|Sichuan|四川|非承認国家|王国|漢|||四川||解放||
|BGCOLOR(#BD712A):|~SHA|Shandong|山東|非承認国家|王国|漢|||山東||解放||
|BGCOLOR(#4490D4):|~XIB|Xibei|西北|非承認国家|王国|漢&br;チベット|||寧夏||解放||
|BGCOLOR(#649614):|~TPG|Heavenly Kingdom|太平天国|非承認国家|帝国|漢&br;客家|プロテスタント||南京||||
|BGCOLOR(#498BA6):|~GNI|Guarani|グアラニー|分権型国家|公国|グアラニー|||アルト・パラグアイ|初期|||
|BGCOLOR(#C0F547):|~KUR|Kurdistan|クルディスタン|非承認国家|王国|クルド|||モースル||解放||
|BGCOLOR(#F0A782):|~GLI|Galicia|ガリシア|承認国|公国|ガリシア|||ガリシア||解放||
|BGCOLOR(#008E4C):|~PAL|Palestine|パレスチナ|非承認国家|公国|マシュリク|スンナ派||パレスチナ||解放||
|BGCOLOR(#D50027):|~TRH|Turkestan|トルキスタン|非承認国家|帝国|ウズベク&br;キルギス&br;カザフ&br;トルクメン&br;タジク&br;ウイグル|||ウズベキスタン||解放|形成|
|BGCOLOR(#B48994):|~COB|Saxe-Coburg-Gotha|ザクセン＝コーブルク＝ゴータ|承認国|公国|北ドイツ|||ザクセン|初期|解放||
|BGCOLOR(#90B56A):|~MEI|Saxe-Meiningen|ザクセン＝マイニンゲン|承認国|公国|北ドイツ|||ザクセン|初期|解放||
|BGCOLOR(#45BC2D):|~WEI|Saxe-Weimar|ザクセン＝ヴァイマル|承認国|大公国|北ドイツ|||ザクセン|初期|解放||
|BGCOLOR(#625C5E):|~SCW|Schwarzburg|シュヴァルツブルク|承認国|公国|北ドイツ|||ザクセン|初期|解放||
|BGCOLOR(#96374B):|~HEK|Hesse-Kassel|ヘッセン＝カッセル|承認国|公国|北ドイツ|||ヘッセ|初期|解放||
|BGCOLOR(#CB3EB9):|~LIP|Lippe|リッペ|承認国|公国|北ドイツ|||ヴェストファーレン|初期|解放||
|BGCOLOR(#199B9B):|~SCM|Schaumburg-Lippe|シャウムブルク＝リッペ|承認国|公国|北ドイツ|||ヴェストファーレン|初期|解放||
|BGCOLOR(#EFE86A):|~MST|Mecklenburg-Strelitz|メクレンブルク＝シュトレーリッツ|承認国|大公国|北ドイツ|||メクレンブルク|初期|解放||
|BGCOLOR(#30A960):|~HOH|Hohenzollern|ホーエンツォレルン|承認国|公国|南ドイツ|||ヴュルテンベルク|初期|解放||
|BGCOLOR(#A9C26B):|~WLD|Waldeck|ヴァルデック|承認国|公国|北ドイツ|||ヘッセ|初期|解放||
|BGCOLOR(#68447C):|~BHT|India|インド|承認国|覇権国家|アッサム&br;アワディー&br;バローチ&br;ベンガル&br;ビハール&br;グジャラート&br;カンナダ&br;マラヤーラム&br;マラーター&br;オリア&br;パンジャーブ&br;パサン&br;ラージプート&br;シンド&br;タミル&br;テルグ&br;ヒンドゥスターン&br;ブンデールカンド&br;パハーリー&br;ゴーンディー&br;バゲーリー&br;チャッティースガリー&br;ダッキニー|||デリー|||形成|
|BGCOLOR(#00274C):|~UOM|Michigan|ミシガン|承認国|公国|ヤンキー|||ミシガン||解放||
|BGCOLOR(#4B6037):|~CIR|Circassia|チェルケス|非承認国家|公国|チェルケス|||クバーニ|初期|解放||
|BGCOLOR(#233430):|~CHC|Chechnya|チェチェン|非承認国家|公国|チェチェン|||北コーカサス|初期|解放||
|BGCOLOR(#6F38C8):|~ASS|Assyria|アッシリア|承認国|王国|アッシリア|||モースル||解放||
|BGCOLOR(#EEDC59):|~KLM|Kalmykia|カルムイク|非承認国家|公国|カルムイク|||カルムイク||解放||
|BGCOLOR(#EBE15F):|~SCH|Schleswig|シュレースヴィヒ|承認国|公国|北ドイツ&br;デンマーク|||シュレースヴィヒ＝ホルシュタイン|初期|解放||
|BGCOLOR(#5A7878):|~KZH|Kishi Zhuz|小ジュズ|非承認国家|公国|カザフ|||ウラリスク|初期|||
|BGCOLOR(#466450):|~UZH|Uly Zhuz|大ジュズ|非承認国家|公国|カザフ|||アクモリンスク|初期|||
|BGCOLOR(#505064):|~OZH|Orta Zhuz|中ジュズ|非承認国家|公国|カザフ|||セミパラチンスク|初期|||
|BGCOLOR(#C86437):|~CAU|Transcaucasia|南カフカース|承認国|帝国|アゼルバイジャン&br;アルメニア&br;ジョージア|||チフリス||解放|形成|
|BGCOLOR(#EBC4E7):|~SAV|Savoy|サヴォイ|承認国|公国|フランコ・プロヴァンサル|||サヴォイ||解放||
|BGCOLOR(#055505):|~RHE|Rhineland|ラインラント|承認国|公国|北ドイツ|||北ライン||解放||
|BGCOLOR(#ED2939):|~PRC|Paris Commune|パリ・コミューン|承認国|帝国|フランス|||イル＝ド＝フランス||||
|BGCOLOR(#163F1A):|~KRL|Karelia|カレリア|承認国|公国|カレリア|||東カレリア||解放||
|BGCOLOR(#1FDAE5):|~TAR|Tatarstan|タタールスタン|承認国|公国|タタール|||カザン||解放||
|BGCOLOR(#47DB81):|~BKR|Bashkiria|バシキール|承認国|公国|バシキール|||ウファ||解放||
|BGCOLOR(#323278):|~BRY|Buryatia|ブリヤーティア|承認国|公国|ブリヤート|||ブリヤーティア||解放||
|BGCOLOR(#192F77):|~KMC|Kamchatka|カムチャツカ|承認国|公国|シベリア|||カムチャツカ||解放||
|BGCOLOR(#63ECF0):|~CKC|Chukotka|チュクチ|承認国|公国|シベリア|||チュクチ||解放||
|BGCOLOR(#4A79C6):|~ALI|Altai|アルタイ|承認国|公国|モンゴル|||アルタイ||解放||
|BGCOLOR(#375958):|~URL|Ural|ウラル|承認国|公国|ロシア|||ウラル||解放||
|BGCOLOR(#9CBEC4):|~KNT|Kanty-Mansi|ハンティ・マンシ|承認国|公国|ウゴル|||スルグト||解放||
|BGCOLOR(#520C0C):|~UDM|Udmurtia|ウドムルト|承認国|公国|ウドムルト|||ヴャトカ||解放||
|BGCOLOR(#F97D04):|~CHV|Chuvashia|チュヴァシ|承認国|公国|チュヴァシ|||チェボクサル||解放||
|BGCOLOR(#DE93E2):|~MRD|Erzya-Moksha|エルジャ・モクシャ|承認国|公国|モルドビン|||タンボフ||解放||
|BGCOLOR(#8B62C1):|~MRI|Mari El|マリ・エル|承認国|公国|マリ|||チェボクサル||解放||
|BGCOLOR(#2D552D):|~TJI|Tajikistan|タジキスタン|承認国|大公国|タジク|||タジキスタン||解放|形成|
|BGCOLOR(#C7C7AA):|~UZB|Uzbekistan|ウズベキスタン|承認国|大公国|ウズベク|||フェルガナ||解放|形成|
|BGCOLOR(#A15757):|~KYR|Kirgizia|キルギス|承認国|大公国|キルギス|||キルギス||解放|形成|
|BGCOLOR(#45674D):|~PAU|Paulistânia|パウリスタニア|承認国|公国|パウリスタ|||サンパウロ||解放||
|BGCOLOR(#A8C1B7):|~EQT|Confederation of the Equator|赤道連邦|承認国|公国|ノルデスティーノ|||ペルナンブーコ||解放||
|BGCOLOR(#DFF968):|~CTR|Santa Catarina|サンタカタリーナ|承認国|公国|スリスタ|||サンタカタリーナ||解放||
|BGCOLOR(#20BF94):|~MNG|Minas Gerais|ミナスジェライス|承認国|公国|ブラジル|||ミナスジェライス||解放||
|BGCOLOR(#C5CEBF):|~BHI|Bahia|バヒア|承認国|公国|ノルデスティーノ|||バイーア||解放||
|BGCOLOR(#C25E3F):|~CNW|Cornwall|コーンウォール|承認国|公国|イングランド|||ウェストカントリー||解放||
|BGCOLOR(#DCDCF5):|~FND|Federation of the Andes|アンデス連邦|承認国|覇権国家|北アンデス&br;南アンデス|||パナマ|||形成|
|BGCOLOR(#EA6BA3):|~PBC|Peru-Bolivia|ペルー・ボリビア|承認国|帝国|南アンデス|||ラパス||||
|BGCOLOR(#F5D250):|~IQU|Iquicha|イキチャ|非承認国家|公国|ケチュア|||イカ|初期|||
|BGCOLOR(#9D3737):|~NPU|North Peru|北ペルー|承認国|公国|南アンデス|||リマ|初期|||
|BGCOLOR(#37A74D):|~SPU|South Peru|南ペルー|承認国|公国|南アンデス|||イカ|初期|||
|BGCOLOR(#6E0A2D):|~RSM|San Marco|サン・マルコ|承認国|公国|北イタリア|||ロンバルディア||||
|BGCOLOR(#FAFAF5):|~HRE|Central Europe|中央ヨーロッパ|承認国|覇権国家|北ドイツ&br;南ドイツ&br;チェコ&br;オランダ&br;フランドル&br;ワロン&br;アレマン&br;北イタリア&br;スロベニア|||オーストリア|||形成|
|BGCOLOR(#FF761C):|~UNL|United Netherlands|ネーデルラント連合|承認国|帝国|オランダ&br;フランドル&br;ワロン|||ホランド|||形成|
|BGCOLOR(#4DA580):|~RHN|Confederation of the Rhine|ライン連邦|承認国|帝国|北ドイツ&br;南ドイツ|||ヘッセ|||形成|
|BGCOLOR(#8287F0):|~PLT|Rio de la Plata|リオ・デ・ラ・プラタ|承認国|帝国|プラティニア|||ブエノスアイレス|||形成|
|BGCOLOR(#7BAFD4):|~NCR|North Carolina|ノースカロライナ|承認国|都市国家|ディキシー|||ノースカロライナ||解放||
|BGCOLOR(#F56600):|~SCR|South Carolina|サウスカロライナ|承認国|都市国家|ディキシー|||サウスカロライナ||解放||
|BGCOLOR(#8771C4):|~CLI|Carolina|カロライナ|承認国|公国|ディキシー|||ノースカロライナ||解放|形成|
|BGCOLOR(#B50027):|~GRG|Georgia|ジョージア|承認国|公国|ディキシー|||ジョージア||解放||
|BGCOLOR(#FFC68E):|~FLR|Florida|フロリダ|承認国|公国|ディキシー|||フロリダ||解放||
|BGCOLOR(#A49D60):|~PAK|Pakistan|パキスタン|非承認国家|帝国|カシミール&br;パンジャーブ&br;シンド&br;バローチ&br;パシュトゥーン|スンナ派||シンド|||形成|
|BGCOLOR(#BE8552):|~TIS|Turtle Island|北アメリカ大陸|非承認国家|帝国|チェロキー&br;イロコイ&br;スー|||オクラホマ||||
|BGCOLOR(#5F5F6D):|~KAB|Kabul|カブール|非承認国家|公国|パシュトゥーン&br;タジク|||カブリスタン|初期|||
|BGCOLOR(#4771C1):|~KAN|Kandahar|カンダハル|非承認国家|公国|パシュトゥーン&br;タジク|||カンダハル|初期|||
|BGCOLOR(#508771):|~HER|Herat|ヘラート|非承認国家|公国|パシュトゥーン&br;ペルシア|||ヘラート|初期|||
|BGCOLOR(#60C1B6):|~CHT|Chitral|チトラール|非承認国家|公国|チトラール|||パシュトゥーニスタン|初期|||
|BGCOLOR(#CCD203):|~MAI|Maimana|マイマナ|非承認国家|公国|ウズベク&br;トルクメン&br;タジク|||南トルキスタン|初期|||
|BGCOLOR(#994C00):|~KUN|Kunduz|クンドゥズ|非承認国家|公国|ウズベク&br;タジク|||南トルキスタン|初期|||
|BGCOLOR(#8C6698):|~ARB|Arabistan|アラビスタン|非承認国家|公国|マシュリク|||アラビスタン|初期|解放||
|BGCOLOR(#5D946B):|~BHW|Bahawalpur|バハーワルプル|非承認国家|公国|パンジャーブ&br;シンド|スンナ派|イギリス領インドのカースト制度|パンジャーブ|初期|解放||
|BGCOLOR(#9C4A4A):|~TRM|Turkmenia|トルクメニア|分権型国家|公国|トルクメン|||トルクメン|初期|||
|BGCOLOR(#5CBC49):|~ABK|Abkhazia|アブハジア|承認国|公国|北カフカース|||チフリス||||
|BGCOLOR(#CFD52F):|~LUR|Luristan|ロレスターン|非承認国家|公国|ロル|||ロレスターン||解放||
|BGCOLOR(#D99058):|~MAZ|Mazandaran|マーザンダラーン|非承認国家|公国|マーザンダラーン|||マーザンダラーン||解放||
|BGCOLOR(#FCB93D):|~BEI|Beiyang|北洋|非承認国家|王国|漢|||北京||||
|BGCOLOR(#C35214):|~KAF|Kafiristan|カフィリスタン|非承認国家|公国|チトラール&br;パシュトゥーン|ヒンドゥー教||カブリスタン|初期|||
|BGCOLOR(#160B58):|~LIM|Limburg|リンブルフ|承認国|公国|オランダ|||ヘルレ||||
|BGCOLOR(#3C9A87):|~GAR|Garhwal|ガルワール|非承認国家|公国|パハーリー||イギリス領インドのカースト制度|アーグラ|初期|||
|BGCOLOR(#E5E71A):|~PTA|Patiala|パティアーラ|非承認国家|公国|パンジャーブ||イギリス領インドのカースト制度|パンジャーブ丘|初期|解放||
|BGCOLOR(#4169E1):|~ALW|Alwar|アルワル|非承認国家|公国|ラージプート||イギリス領インドのカースト制度|ラージプーターナー|初期|解放||
|BGCOLOR(#CCFACC):|~NGA|Naga|ナガ|分権型国家|公国|ナガ|||アッサム|初期|||
|BGCOLOR(#FFCCCC):|~TIP|Tipperah|ティペラ|分権型国家|公国|ルシャイ|||アッサム|初期|||
|BGCOLOR(#BEBEBE):|~KKI|Kuki|クキ|分権型国家|公国|ルシャイ|||アッサム|初期|||
|BGCOLOR(#FFDEAD):|~MGH|Khasi|カーシ|分権型国家|公国|ナガ|||アッサム|初期|||
|BGCOLOR(#DC143C):|~COO|Cooch Behar|コーチ・ビハール|非承認国家|公国|ベンガル|ヒンドゥー教|イギリス領インドのカースト制度|東ベンガル|初期|解放||
|BGCOLOR(#CCE5FF):|~SHS|Shan|シャン|非承認国家|公国|シャン|||シャン|初期|||
|BGCOLOR(#FF8C00):|~JHN|Jhansi|ジャーンシ|非承認国家|公国|ブンデールカンド||イギリス領インドのカースト制度|ブンデールカンド|初期|||
|BGCOLOR(#228B22):|~PUD|Pudukottai|プドゥコッタイ|非承認国家|公国|タミル||イギリス領インドのカースト制度|カルナティック|初期|解放||
|BGCOLOR(#7B2C00):|~KOT|Kotah|コーター|非承認国家|公国|ラージプート||イギリス領インドのカースト制度|ラージプーターナー|初期|解放||
|BGCOLOR(#1F66BB):|~IDA|Idar|イダール|非承認国家|公国|グジャラート||イギリス領インドのカースト制度|グジャラート|初期|解放||
|BGCOLOR(#DEDE00):|~NAW|Nawanagar|ナワナガル|非承認国家|公国|グジャラート||イギリス領インドのカースト制度|グジャラート|初期|解放||
|BGCOLOR(#177917):|~DHA|Dharampur|ダラムプル|非承認国家|公国|グジャラート|||グジャラート|初期|解放||
|BGCOLOR(#C8E5ED):|~JUN|Junagadh|ジュナガド|非承認国家|公国|グジャラート&br;パサン|スンナ派||グジャラート|初期|解放||
|BGCOLOR(#7ADEDE):|~BHV|Bhavnagar|バーオナガル|非承認国家|公国|グジャラート||イギリス領インドのカースト制度|グジャラート|初期|解放||
|BGCOLOR(#DEDEDE):|~PLP|Palanpur|パランプル|非承認国家|公国|グジャラート&br;パサン|スンナ派||グジャラート|初期|解放||
|BGCOLOR(#FF9933):|~SAT|Satara|サタラ|非承認国家|公国|マラーター||イギリス領インドのカースト制度|ボンベイ|初期|解放||
|BGCOLOR(#BC1540):|~KHP|Kolhapur|コールハープル|非承認国家|公国|マラーター||イギリス領インドのカースト制度|ボンベイ|初期|解放||
|BGCOLOR(#7B0E94):|~BAG|Rewah|リーワー|非承認国家|公国|バゲーリー||イギリス領インドのカースト制度|ブンデールカンド|初期|解放||
|BGCOLOR(#3CDE4B):|~SUR|Surguja|スルグジャ|非承認国家|公国|チャッティースガリー||イギリス領インドのカースト制度|ブンデールカンド|初期|解放||
